Accuracy: 0.7419928825622776 Counts: Counter({(False, False): 388, (False, True): 82, (True, False): 63, (True, True): 29}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8113879003558719 Counts: Counter({(False, False): 401, (False, True): 69, (True, True): 55, (True, False): 37}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8327402135231317 Counts: Counter({(False, False): 460, (True, False): 84, (False, True): 10, (True, True): 8}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8113879003558719 Counts: Counter({(False, False): 401, (False, True): 69, (True, True): 55, (True, False): 37}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.9430604982206405 Counts: Counter({(False, False): 457, (True, True): 73, (True, False): 19, (False, True): 13}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': True}
Accuracy: 0.9110320284697508 Counts: Counter({(False, False): 460, (True, True): 52, (True, False): 40, (False, True): 10}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': False, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.8202846975088968 Counts: Counter({(False, False): 447, (True, False): 78, (False, True): 23, (True, True): 14}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.9145907473309609 Counts: Counter({(False, False): 457, (True, True): 57, (True, False): 35, (False, True): 13}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': False, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8185053380782918 Counts: Counter({(False, False): 407, (False, True): 63, (True, True): 53, (True, False): 39}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8345195729537367 Counts: Counter({(False, False): 461, (True, False): 84, (False, True): 9, (True, True): 8}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.9039145907473309 Counts: Counter({(False, False): 436, (True, True): 72, (False, True): 34, (True, False): 20}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': True}
Accuracy: 0.9430604982206405 Counts: Counter({(False, False): 457, (True, True): 73, (True, False): 19, (False, True): 13}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': True}
Accuracy: 0.9039145907473309 Counts: Counter({(False, False): 453, (True, True): 55, (True, False): 37, (False, True): 17}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': False, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8256227758007118 Counts: Counter({(False, False): 455, (True, False): 83, (False, True): 15, (True, True): 9}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8185053380782918 Counts: Counter({(False, False): 407, (False, True): 63, (True, True): 53, (True, False): 39}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.9430604982206405 Counts: Counter({(False, False): 457, (True, True): 73, (True, False): 19, (False, True): 13}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': True}
Accuracy: 0.8113879003558719 Counts: Counter({(False, False): 401, (False, True): 69, (True, True): 55, (True, False): 37}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': False, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.8327402135231317 Counts: Counter({(False, False): 460, (True, False): 84, (False, True): 10, (True, True): 8}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.7419928825622776 Counts: Counter({(False, False): 388, (False, True): 82, (True, False): 63, (True, True): 29}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': True, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': False}
Accuracy: 0.7419928825622776 Counts: Counter({(False, False): 388, (False, True): 82, (True, False): 63, (True, True): 29}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': True, 'ADD_FROM': False, 'ADD_URL': True, 'ADD_RECEIVED': False}
Accuracy: 0.9323843416370107 Counts: Counter({(False, False): 452, (True, True): 72, (True, False): 20, (False, True): 18}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': True, 'NLTK_TOKENIZE': False, 'ADD_FROM': False, 'ADD_URL': False, 'ADD_RECEIVED': True}
Accuracy: 0.8167259786476868 Counts: Counter({(False, False): 446, (True, False): 79, (False, True): 24, (True, True): 13}) Settings: {'CONTENT_FROM_BODY': False, 'STEM_WORDS': False, 'REMOVE_STOP_WORDS': True, 'MIN_COUNT': True, 'SPECIAL_TOKENS': False, 'NLTK_TOKENIZE': True, 'ADD_FROM': True, 'ADD_URL': False, 'ADD_RECEIVED': False}
